year,month,state,total_cases,total_deaths
2020,6,Louisiana,1436753,91082
2020,6,Maine,84057,3010
2020,6,Maryland,1867000,88044
2020,6,Massachusetts,3164865,228975
2020,6,Michigan,1981377,179464
2020,6,Minnesota,925287,39472
2020,6,Mississippi,614642,27336
2020,6,Missouri,517729,27450
2020,6,Montana,19781,581
2020,6,Nebraska,508068,6926
2020,6,Nevada,365782,14008
2020,6,New Hampshire,159771,9573
2020,6,New Jersey,5021309,388821
2020,6,New Mexico,298314,13155
2020,6,New York,11656829,918476
2020,6,North Carolina,1381977,34879
2020,6,North Dakota,93310,2366
2020,6,Northern Mariana Islands,862,60
2020,6,Ohio,1279993,77119
2020,6,Oklahoma,277672,10849
2020,6,Oregon,184416,5420
2020,6,Pennsylvania,2516170,188226
2020,6,Puerto Rico,174784,4380
2020,6,Rhode Island,481310,25484
2020,6,South Carolina,636483,18424
2020,6,South Dakota,177958,2282
2020,6,Tennessee,956724,14450
2020,6,Texas,3090759,62054
2020,6,Utah,464269,4294
2020,6,Vermont,33551,1663
2020,6,Virgin Islands,2250,180
2020,6,Virginia,1644315,47056
2020,6,Washington,845988,36893
2020,6,West Virginia,71793,2613
2020,6,Wisconsin,758785,21236
2020,6,Wyoming,33714,555
2020,7,Alabama,1918336,38436
2020,7,Alaska,67633,496
2020,7,Arizona,4105142,79906
2020,7,Arkansas,972426,10829
2020,7,California,11404982,232621
2020,7,Colorado,1215655,54290
2020,7,Connecticut,1483675,135762
2020,7,Delaware,410198,16554
2020,7,District of Columbia,345436,17731
2020,7,Florida,9746638,149112
2020,7,Georgia,3794129,96401
2020,7,Guam,39876,186
2020,7,Hawaii,41333,673
2020,7,Idaho,412314,3800
2020,7,Illinois,4987937,230706
2020,7,Indiana,1745006,86855
2020,7,Iowa,1152156,24212
2020,7,Kansas,663964,9654
2020,7,Kentucky,694134,20877
2020,7,Louisiana,2696554,109304
2020,7,Maine,112034,3546
2020,7,Maryland,2391813,103834
2020,7,Massachusetts,3498717,259483
2020,7,Michigan,2483179,196370
2020,7,Minnesota,1388670,48459
2020,7,Mississippi,1279092,40931
2020,7,Missouri,1053738,35764
2020,7,Montana,71052,1109
2020,7,Nebraska,691529,9469
2020,7,Nevada,1014765,19854
2020,7,New Hampshire,190987,12246
2020,7,New Jersey,5527664,482461
2020,7,New Mexico,504146,17513
2020,7,New York,12690287,995461
2020,7,North Carolina,2910360,50375
2020,7,North Dakota,149692,2956
2020,7,Northern Mariana Islands,1100,62
2020,7,Ohio,2204116,97128
2020,7,Oklahoma,738132,13870
2020,7,Oregon,421377,7946
2020,7,Pennsylvania,3210520,217270
2020,7,Puerto Rico,353563,5485
2020,7,Rhode Island,549884,30536
2020,7,South Carolina,1978230,35108
2020,7,South Dakota,240095,3471
2020,7,Tennessee,2204796,24839
2020,7,Texas,9495262,126671
2020,7,Utah,988673,7305
2020,7,Vermont,41004,1738
2020,7,Virgin Islands,7748,199
2020,7,Virginia,2330822,61641
2020,7,Washington,1439080,46109
2020,7,West Virginia,145677,3101
2020,7,Wisconsin,1357567,26417
2020,7,Wyoming,63980,710
2020,8,Alabama,756876,13428
2020,8,Alaska,33051,183
2020,8,Arizona,1452839,31320
2020,8,Arkansas,367132,3966
2020,8,California,4253026,78336
2020,8,Colorado,391115,14834
2020,8,Connecticut,400902,35494
2020,8,Delaware,121626,4694
2020,8,District of Columbia,99393,4697
